latitude,longitude,type
37.5487046,126.8450968,경찰서
37.56234,126.8082952,경찰서
37.5293298,126.8455742,경찰서
37.5592835,126.85012,경찰서
37.5328952,126.8631355,경찰서
37.5798086,126.8146637,경찰서
37.5518991,126.8674085,경찰서
37.544802,126.8618709,경찰서
37.5493916,126.8260837,경찰서
37.5446703,126.8351964,경찰서
37.5414579,127.1354748,경찰서
37.5295087,127.1391995,경찰서
37.5295697,127.1239563,경찰서
37.5549581,127.1407803,경찰서
37.5253425,127.1456295,경찰서
37.5536205,127.1560818,경찰서
37.5648437,127.1732748,경찰서
37.5573421,127.1517305,경찰서
37.5561836,127.1658284,경찰서
37.6089689999999,127.0552581,경찰서
37.6193708,127.053603,경찰서
37.6043982,127.0324129,경찰서
37.6000864,127.0312535,경찰서
37.5000414,126.8893689,경찰서
37.4947379,126.8388078,경찰서
37.4892371,126.8907025,경찰서
37.50654,126.8582329,경찰서
37.4917084,126.8564279,경찰서
37.4866541,126.8913691,경찰서
37.4791578,126.8926325,경찰서
37.4834277,126.84181,경찰서
37.5059834,127.0051816,경찰서
37.4875131,127.0289593,경찰서
37.4919865,127.0107859,경찰서
37.4845428,127.0378441,경찰서
37.4852897,127.0167473,경찰서
37.471845,127.0271792,경찰서
37.454992,127.0648545,경찰서
37.5351903,126.8785906,경찰서
37.5445156,126.862375,경찰서
37.5202891,126.8607933,경찰서
37.5244487,126.863509,경찰서
37.5197426,126.8349027,경찰서
37.5320806,126.8322435,경찰서
37.5149133,126.8550058,경찰서
37.5390442,126.8306805,경찰서
37.5102514,127.1257318,경찰서
37.5120841,127.0821495,경찰서
37.5027107,127.0927721,경찰서
37.4979534,127.124438,경찰서
37.4782023,127.1269954,경찰서
37.4969882,127.1482966,경찰서
37.4851827,127.128881,경찰서
37.5287255,127.1168629,경찰서
37.5068859,127.1280993,경찰서
37.5201652,127.1123922,경찰서
37.4778753,127.1458547,경찰서
37.6420263,127.0683655,경찰서
37.6336663,127.0592758,경찰서
37.6225423,127.0745497,경찰서
37.6550066,127.0669434,경찰서
37.6524287,127.0773287,경찰서
37.6645128,127.0635938,경찰서
37.6714827,127.0778607,경찰서
37.6796671,127.0550431,경찰서
37.4795145,126.982147,경찰서
37.5015562,126.9980944,경찰서
37.4941411,126.9888281,경찰서
37.4839725,126.9953204,경찰서
37.62146,126.9265859,경찰서
37.6151923,126.9127048,경찰서
37.6367356,126.9183299,경찰서
37.6111425,126.9289875,경찰서
37.6522878,127.0517221,경찰서
37.6435217999999,127.0345748,경찰서
37.6644651,127.0399956,경찰서
37.6585014,127.0271436,경찰서
37.6794987,127.0434863,경찰서
37.6839868,127.0492833,경찰서
37.6575676,127.0380293,경찰서
37.6474873,127.0255867,경찰서
37.5055798,127.0414738,경찰서
37.4947493,127.0624809,경찰서
37.4891379,127.1047973,경찰서
37.4651386,127.107375,경찰서
37.4923791,127.083378,경찰서
37.4806165,127.0501493,경찰서
37.48472219,126.9448623,안전비상벨
37.49274898,126.9350922,안전비상벨
37.47331235,126.9236363,안전비상벨
37.4667325,126.9237165,안전비상벨
37.46985456,126.9778824,안전비상벨
37.45641695,126.9461288,안전비상벨
37.46924978,126.9126727,안전비상벨
37.48097851,126.916495,안전비상벨
37.48021998,126.9158269,안전비상벨
37.49183062,126.9362613,안전비상벨
37.49202819,126.9402673,안전비상벨
37.49312281,126.9453076,안전비상벨
37.47472773,126.9493561,안전비상벨
37.47469864,126.9482464,안전비상벨
37.47521741,126.9515644,안전비상벨
37.47535786,126.9510767,안전비상벨
37.47646946,126.9696306,안전비상벨
37.47648687,126.9701338,안전비상벨
37.4746172,126.9766191,안전비상벨
37.46829727,126.9452017,안전비상벨
37.49132073,126.9410883,안전비상벨
37.49027227,126.9429346,안전비상벨
37.49017902,126.9433326,안전비상벨
